Marca temporal,¿Qué edad tienes?,¿Qué dispositivos usas principalmente?,"¿Cuántas horas al día, en promedio, utiliza su dispositivo móvil (celular, tablet) en días laborables?","  ¿Cuántas horas diarias pasas, en promedio, específicamente en Redes Sociales? (Instagram, TikTok, Twitter/X, etc.)  ",  ¿Cuál es tu promedio académico actual o estimado en este ciclo lectivo? (Nota del 1 al 10)  ,"¿Cuántas horas al día, en promedio, utiliza su dispositivo móvil durante los fines de semana?",¿Cuál es la principal actividad que realiza en su dispositivo móvil?,Indique en qué rango de tiempo usted suele revisar su dispositivo con mayor frecuencia. [Lunes a Viernes],Indique en qué rango de tiempo usted suele revisar su dispositivo con mayor frecuencia. [Sábados y Domingos],Evalúe su nivel de dependencia del dispositivo móvil (1 siendo muy baja y 10 siendo muy alta).,¿Considera que su uso de pantalla afecta negativamente su sueño o productividad?
2026-06-23 20:06:12,15,Android,Menos de 1 hora,Una hora y media ,7,Más de 6 horas,Trabajo o estudios,Mediodía (12:00 a 14:00),"Mediodía (12:00 a 14:00), Noche (después de las 22:00)",4,Moderadamente
2026-06-23 20:21:12,20,Iphone,2 a 4 horas,2 hs,9,1 a 2 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles), Trabajo o estudios","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",Noche (después de las 22:00),6,Moderadamente
2026-06-23 20:36:12,14,Iphone,1 a 2 horas,De 2 a 5 o 6 horas,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",Temprano en la mañana (antes de las 9:00),"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",6,Significativamente
2026-06-23 20:51:12,13,Android,Más de 6 horas,11 horas,7,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",Temprano en la mañana (antes de las 9:00),"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",5,Moderadamente
2026-06-23 21:06:12,14,Iphone,Más de 6 horas,"TikTok,Facebook",8,Menos de 1 hora,"Redes sociales (Instagram, TikTok, Facebook, X)",Mediodía (12:00 a 14:00),Mediodía (12:00 a 14:00),4,Moderadamente
2026-06-23 21:21:12,34,Android,2 a 4 horas,20,8,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix)",Mediodía (12:00 a 14:00),"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",9,Ligeramente
2026-06-23 21:36:12,60,Android,Más de 6 horas,1 hora ,9,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",Mediodía (12:00 a 14:00),Noche (después de las 22:00),3,Significativamente
2026-06-23 21:51:12,19,Iphone,Más de 6 horas,2,10,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)","Temprano en la mañana (antes de las 9:00), Noche (después de las 22:00)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",2,Significativamente
2026-06-23 22:06:12,17,Android,Menos de 1 hora,1 hora,8,Menos de 1 hora,"Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Lectura de noticias o navegación web","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",Noche (después de las 22:00),9,Moderadamente
2026-06-23 22:21:12,57,Android,Más de 6 horas,En tiktok 2 horas,7,Más de 6 horas,"Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Lectura de noticias o navegación web",Tarde (17:00 a 20:00),"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",6,Moderadamente
2026-06-23 22:36:12,20,Android,4 a 6 horas,4 horas,7,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Juegos (Móviles)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",7,Moderadamente
2026-06-23 22:51:12,24,Android,2 a 4 horas,TikTok,7,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",Tarde (17:00 a 20:00),"Tarde (17:00 a 20:00), Noche (después de las 22:00)",6,Ligeramente
2026-06-23 23:06:12,46,Android,2 a 4 horas,Instagram ,8,Más de 6 horas,Trabajo o estudios,Tarde (17:00 a 20:00),Mediodía (12:00 a 14:00),7,Moderadamente
2026-06-23 23:21:12,24,Android,4 a 6 horas,2 horas ,8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Juegos (Móviles), Trabajo o estudios, Lectura de noticias o navegación web",Tarde (17:00 a 20:00),"Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00)",4,Ligeramente
2026-06-23 23:36:12,36,Android,Más de 6 horas,6 horas ,10,1 a 2 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Consumo de video (YouTube, Netflix), Juegos (Móviles)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)","Mediodía (12:00 a 14:00), Noche (después de las 22:00)",10,Ligeramente
2026-06-23 23:51:12,45,Android,Más de 6 horas,Casi siempre ,6,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles), Trabajo o estudios, Lectura de noticias o navegación web","Tarde (17:00 a 20:00), Noche (después de las 22:00)",Mediodía (12:00 a 14:00),10,Moderadamente
2026-06-24 00:06:12,46,Android,1 a 2 horas,6Horas,8,Más de 6 horas,"Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles), Trabajo o estudios, Lectura de noticias o navegación web","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",8,Moderadamente
2026-06-24 00:21:12,23,Android,Más de 6 horas,3,7,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)","Tarde (17:00 a 20:00), Noche (después de las 22:00)",10,"No, en absoluto"
2026-06-24 00:36:12,42,Android,1 a 2 horas,20,8,Más de 6 horas,"Comunicación (WhatsApp, Telegram, llamadas), Lectura de noticias o navegación web",Tarde (17:00 a 20:00),Temprano en la mañana (antes de las 9:00),5,Ligeramente
2026-06-24 00:51:12,45,Android,2 a 4 horas,Casi la mayor parte trabajo con eso son mis herramientas de trabajo (difusion a pleno),7,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)","Tarde (17:00 a 20:00), Noche (después de las 22:00)",8,Ligeramente
2026-06-24 01:06:12,19,Iphone,1 a 2 horas,4 o 5 horas,7,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Juegos (Móviles), Trabajo o estudios, Lectura de noticias o navegación web",Noche (después de las 22:00),"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",8,"No, en absoluto"
2026-06-24 01:21:12,29,Android,4 a 6 horas,4 horas,8,Más de 6 horas,"Consumo de video (YouTube, Netflix)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",Mediodía (12:00 a 14:00),7,Significativamente
2026-06-24 01:36:12,48,Iphone,Menos de 1 hora,2 a 3 horas ,7,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",Tarde (17:00 a 20:00),7,Ligeramente
2026-06-24 01:51:12,36,Android,Menos de 1 hora,4 hs,7,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Trabajo o estudios, Lectura de noticias o navegación web","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)","Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",3,Ligeramente
2026-06-24 02:06:12,19,Android,Más de 6 horas,3 horas,6,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00)",Mediodía (12:00 a 14:00),8,"No, en absoluto"
2026-06-24 02:21:12,19,Iphone,4 a 6 horas,Más de 6 horas ,10,4 a 6 horas,"Juegos (Móviles), Trabajo o estudios",Mediodía (12:00 a 14:00),"Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",5,Significativamente
2026-06-24 02:36:12,19,Android,Más de 6 horas,3 hs,6,1 a 2 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",Tarde (17:00 a 20:00),3,"No, en absoluto"
2026-06-24 02:51:12,19,Iphone,2 a 4 horas,Twitter,2,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Trabajo o estudios",Noche (después de las 22:00),"Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00)",10,Moderadamente
2026-06-24 03:06:12,29,"Android, Iphone",Más de 6 horas,4,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles), Trabajo o estudios","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",1,Ligeramente
2026-06-24 03:21:12,17,Android,2 a 4 horas,2hs cda una,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Lectura de noticias o navegación web",Mediodía (12:00 a 14:00),"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00)",4,Significativamente
2026-06-24 03:36:12,12,Android,Más de 6 horas,8,7,2 a 4 horas,"Comunicación (WhatsApp, Telegram, llamadas)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",3,"No, en absoluto"
2026-06-24 03:51:12,44,Android,Más de 6 horas,2,9,1 a 2 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios",Tarde (17:00 a 20:00),"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",8,Significativamente
2026-06-24 04:06:12,15,Iphone,Más de 6 horas,Casi siempre ,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Juegos (Móviles)",Tarde (17:00 a 20:00),"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",8,"No, en absoluto"
